data,responsável,temperatura
quinta - 06/04/2023 21:00,Rafael,26.14
quinta - 06/04/2023 21:15,Rafael,25.82
quinta - 06/04/2023 21:30,Rafael,25.37
quinta - 06/04/2023 21:45,Rafael,25.2
quinta - 06/04/2023 22:00,Rafael,24.28
quinta - 06/04/2023 22:15,Rafael,24.6
quinta - 06/04/2023 22:30,Rafael,24.13
quinta - 06/04/2023 22:45,Rafael,23.88
quinta - 06/04/2023 23:00,Rafael,23.46
quinta - 06/04/2023 23:15,Rafael,23.05
quinta - 06/04/2023 23:30,Rafael,22.33
quinta - 06/04/2023 23:45,Rafael,22.93
sexta - 07/04/2023 00:00,Fábio,23.46
sexta - 07/04/2023 00:15,Fábio,23.58
sexta - 07/04/2023 00:30,Fábio,22.98
sexta - 07/04/2023 00:45,Fábio,22.87
sexta - 07/04/2023 01:00,Fábio,22.61
sexta - 07/04/2023 01:15,Fábio,22.71
sexta - 07/04/2023 01:30,Fábio,22.07
sexta - 07/04/2023 01:45,Fábio,22.41
sexta - 07/04/2023 02:00,Fábio,22.14
sexta - 07/04/2023 02:15,Fábio,22.45
sexta - 07/04/2023 02:30,Fábio,22.31
sexta - 07/04/2023 02:45,Fábio,22.15
sexta - 07/04/2023 03:00,Fábio,22.04
sexta - 07/04/2023 03:15,Fábio,22.08
sexta - 07/04/2023 03:30,Fábio,22.01
sexta - 07/04/2023 03:45,Fábio,22.37
sexta - 07/04/2023 04:00,Fábio,22.04
sexta - 07/04/2023 04:15,Fábio,22.28
sexta - 07/04/2023 04:30,Fábio,21.71
sexta - 07/04/2023 04:45,Fábio,22.28
sexta - 07/04/2023 05:00,Fábio,22.13
sexta - 07/04/2023 05:15,Fábio,22.32
sexta - 07/04/2023 05:30,Fábio,22.0
sexta - 07/04/2023 05:45,Fábio,22.43
sexta - 07/04/2023 06:00,Fábio,22.55
sexta - 07/04/2023 06:15,Fábio,22.49
sexta - 07/04/2023 06:30,Fábio,22.59
sexta - 07/04/2023 06:45,Fábio,22.98
sexta - 07/04/2023 07:00,Fábio,23.17
sexta - 07/04/2023 07:15,Fábio,23.03
sexta - 07/04/2023 07:30,Fábio,
sexta - 07/04/2023 07:45,Fábio,23.62
sexta - 07/04/2023 08:00,Fernando,23.61
sexta - 07/04/2023 08:15,Fernando,23.6
sexta - 07/04/2023 08:30,Fernando,24.14
sexta - 07/04/2023 08:45,Fernando,24.26
sexta - 07/04/2023 09:00,Fernando,24.3
sexta - 07/04/2023 09:15,Fernando,24.36
sexta - 07/04/2023 09:30,Fernando,24.66
sexta - 07/04/2023 09:45,Fernando,24.87
sexta - 07/04/2023 10:00,Fernando,25.24
sexta - 07/04/2023 10:15,Fernando,25.46
sexta - 07/04/2023 10:30,Fernando,25.25
sexta - 07/04/2023 10:45,Fernando,25.38
sexta - 07/04/2023 11:00,Fernando,25.85
sexta - 07/04/2023 11:15,Fernando,26.06
sexta - 07/04/2023 11:30,Fernando,25.96
sexta - 07/04/2023 11:45,Fernando,26.33
sexta - 07/04/2023 12:00,Fernando,26.48
sexta - 07/04/2023 12:15,Fernando,26.63
sexta - 07/04/2023 12:30,Fernando,27.03
sexta - 07/04/2023 12:45,Fernando,26.86
sexta - 07/04/2023 13:00,Fernando,27.19
sexta - 07/04/2023 13:15,Fernando,27.18
sexta - 07/04/2023 13:30,Fernando,27.29
sexta - 07/04/2023 13:45,Fernando,27.57
sexta - 07/04/2023 14:00,Fernando,27.66
sexta - 07/04/2023 14:15,Fernando,28.0
sexta - 07/04/2023 14:30,Fernando,27.95
sexta - 07/04/2023 14:45,Fernando,28.58
sexta - 07/04/2023 15:00,Fernando,28.04
sexta - 07/04/2023 15:15,Fernando,27.84
sexta - 07/04/2023 15:30,Fernando,27.89
sexta - 07/04/2023 15:45,Fernando,28.16
sexta - 07/04/2023 16:00,Júlia,28.31
sexta - 07/04/2023 16:15,Júlia,27.62
sexta - 07/04/2023 16:30,Júlia,28.24
sexta - 07/04/2023 16:45,Júlia,27.84
sexta - 07/04/2023 17:00,Júlia,27.74
sexta - 07/04/2023 17:15,Júlia,27.9
sexta - 07/04/2023 17:30,Júlia,27.41
sexta - 07/04/2023 17:45,Júlia,27.57
sexta - 07/04/2023 18:00,Júlia,27.19
sexta - 07/04/2023 18:15,Júlia,27.66
sexta - 07/04/2023 18:30,Júlia,27.18
sexta - 07/04/2023 18:45,Júlia,27.0
sexta - 07/04/2023 19:00,Júlia,26.61
sexta - 07/04/2023 19:15,Júlia,
sexta - 07/04/2023 19:30,Júlia,26.27
sexta - 07/04/2023 19:45,Júlia,26.5
sexta - 07/04/2023 20:00,Júlia,25.99
sexta - 07/04/2023 20:15,Júlia,26.37
sexta - 07/04/2023 20:30,Júlia,
sexta - 07/04/2023 20:45,Júlia,25.6
sexta - 07/04/2023 21:00,Júlia,25.78
sexta - 07/04/2023 21:15,Júlia,25.77
sexta - 07/04/2023 21:30,Júlia,25.21
sexta - 07/04/2023 21:45,Júlia,24.86
sexta - 07/04/2023 22:00,Júlia,24.53
sexta - 07/04/2023 22:15,Júlia,24.7
sexta - 07/04/2023 22:30,Júlia,24.27
sexta - 07/04/2023 22:45,Júlia,24.57
sexta - 07/04/2023 23:00,Júlia,23.94
sexta - 07/04/2023 23:15,Júlia,23.68
sexta - 07/04/2023 23:30,Júlia,23.68
sexta - 07/04/2023 23:45,Júlia,23.17
sábado - 08/04/2023 00:00,Fábio,21.65
sábado - 08/04/2023 00:15,Fábio,21.47
sábado - 08/04/2023 00:30,Fábio,20.89
sábado - 08/04/2023 00:45,Fábio,20.7
sábado - 08/04/2023 01:00,Fábio,20.34
sábado - 08/04/2023 01:15,Fábio,20.32
sábado - 08/04/2023 01:30,Fábio,19.73
sábado - 08/04/2023 01:45,Fábio,19.67
sábado - 08/04/2023 02:00,Fábio,20.13
sábado - 08/04/2023 02:15,Fábio,19.34
sábado - 08/04/2023 02:30,Fábio,19.23
sábado - 08/04/2023 02:45,Fábio,19.07
sábado - 08/04/2023 03:00,Fábio,19.04
sábado - 08/04/2023 03:15,Fábio,19.25
sábado - 08/04/2023 03:30,Fábio,19.14
sábado - 08/04/2023 03:45,Fábio,18.91
sábado - 08/04/2023 04:00,Fábio,18.97
sábado - 08/04/2023 04:15,Fábio,19.33
sábado - 08/04/2023 04:30,Fábio,19.03
sábado - 08/04/2023 04:45,Fábio,19.05
sábado - 08/04/2023 05:00,Fábio,19.04
sábado - 08/04/2023 05:15,Fábio,19.12
sábado - 08/04/2023 05:30,Fábio,19.56
sábado - 08/04/2023 05:45,Fábio,19.72
sábado - 08/04/2023 06:00,Fábio,19.34
sábado - 08/04/2023 06:15,Fábio,20.09
sábado - 08/04/2023 06:30,Fábio,19.94
sábado - 08/04/2023 06:45,Fábio,20.31
sábado - 08/04/2023 07:00,Fábio,
sábado - 08/04/2023 07:15,Fábio,
sábado - 08/04/2023 07:30,Fábio,20.84
sábado - 08/04/2023 07:45,Fábio,20.97
sábado - 08/04/2023 08:00,Fábio,21.82
sábado - 08/04/2023 08:15,Fábio,21.47
sábado - 08/04/2023 08:30,Fábio,22.19
sábado - 08/04/2023 08:45,Fábio,22.46
sábado - 08/04/2023 09:00,Fábio,23.0
sábado - 08/04/2023 09:15,Fábio,22.97
sábado - 08/04/2023 09:30,Fábio,23.81
sábado - 08/04/2023 09:45,Fábio,23.72
sábado - 08/04/2023 10:00,Fábio,24.38
sábado - 08/04/2023 10:15,Fábio,24.39
sábado - 08/04/2023 10:30,Fábio,25.01
sábado - 08/04/2023 10:45,Fábio,24.92
sábado - 08/04/2023 11:00,Fábio,25.93
sábado - 08/04/2023 11:15,Fábio,25.93
sábado - 08/04/2023 11:30,Fábio,25.99
sábado - 08/04/2023 11:45,Fábio,26.46
sábado - 08/04/2023 12:00,Fernando,26.53
sábado - 08/04/2023 12:15,Fernando,27.06
sábado - 08/04/2023 12:30,Fernando,27.11
sábado - 08/04/2023 12:45,Fernando,27.22
sábado - 08/04/2023 13:00,Fernando,27.67
sábado - 08/04/2023 13:15,Fernando,28.01
sábado - 08/04/2023 13:30,Fernando,28.22
sábado - 08/04/2023 13:45,Fernando,28.11
sábado - 08/04/2023 14:00,Fernando,28.66
sábado - 08/04/2023 14:15,Fernando,28.74
sábado - 08/04/2023 14:30,Fernando,28.82
sábado - 08/04/2023 14:45,Fernando,29.13
sábado - 08/04/2023 15:00,Fernando,29.22
sábado - 08/04/2023 15:15,Fernando,29.4
sábado - 08/04/2023 15:30,Fernando,28.83
sábado - 08/04/2023 15:45,Fernando,28.69
sábado - 08/04/2023 16:00,Fernando,29.21
sábado - 08/04/2023 16:15,Fernando,28.75
sábado - 08/04/2023 16:30,Fernando,28.94
sábado - 08/04/2023 16:45,Fernando,28.56
sábado - 08/04/2023 17:00,Fernando,28.31
sábado - 08/04/2023 17:15,Fernando,28.06
sábado - 08/04/2023 17:30,Fernando,27.81
sábado - 08/04/2023 17:45,Fernando,27.56
sábado - 08/04/2023 18:00,Fernando,27.31
sábado - 08/04/2023 18:15,Fernando,27.06
sábado - 08/04/2023 18:30,Fernando,26.81
sábado - 08/04/2023 18:45,Fernando,26.56
sábado - 08/04/2023 19:00,Fernando,26.31
sábado - 08/04/2023 19:15,Fernando,26.06
sábado - 08/04/2023 19:30,Fernando,25.81
sábado - 08/04/2023 19:45,Fernando,25.56
sábado - 08/04/2023 20:00,Fernando,25.31
sábado - 08/04/2023 20:15,Fernando,25.06
sábado - 08/04/2023 20:30,Fernando,24.81
sábado - 08/04/2023 20:45,Fernando,24.56
sábado - 08/04/2023 21:00,Fernando,24.31
sábado - 08/04/2023 21:15,Fernando,24.06
sábado - 08/04/2023 21:30,Fernando,23.81
sábado - 08/04/2023 21:45,Fernando,23.56
sábado - 08/04/2023 22:00,Fernando,23.31
sábado - 08/04/2023 22:15,Fernando,23.06
sábado - 08/04/2023 22:30,Fernando,22.81
sábado - 08/04/2023 22:45,Fernando,22.56
sábado - 08/04/2023 23:00,Fernando,22.31
sábado - 08/04/2023 23:15,Fernando,22.06
sábado - 08/04/2023 23:30,Fernando,21.81
sábado - 08/04/2023 23:45,Fernando,21.56
domingo - 09/04/2023 00:00,Júlia,22.54
domingo - 09/04/2023 00:15,Júlia,22.35
domingo - 09/04/2023 00:30,Júlia,21.8
domingo - 09/04/2023 00:45,Júlia,22.15
domingo - 09/04/2023 01:00,Júlia,22.09
domingo - 09/04/2023 01:15,Júlia,22.03
domingo - 09/04/2023 01:30,Júlia,21.67
domingo - 09/04/2023 01:45,Júlia,21.54
domingo - 09/04/2023 02:00,Júlia,21.29
domingo - 09/04/2023 02:15,Júlia,21.51
domingo - 09/04/2023 02:30,Júlia,21.05
domingo - 09/04/2023 02:45,Júlia,21.07
domingo - 09/04/2023 03:00,Júlia,21.35
domingo - 09/04/2023 03:15,Júlia,21.24
domingo - 09/04/2023 03:30,Júlia,
domingo - 09/04/2023 03:45,Júlia,20.93
domingo - 09/04/2023 04:00,Júlia,20.86
domingo - 09/04/2023 04:15,Júlia,20.97
domingo - 09/04/2023 04:30,Júlia,21.34
domingo - 09/04/2023 04:45,Júlia,20.47
domingo - 09/04/2023 05:00,Júlia,21.1
domingo - 09/04/2023 05:15,Júlia,21.29
domingo - 09/04/2023 05:30,Júlia,21.09
domingo - 09/04/2023 05:45,Júlia,21.34
domingo - 09/04/2023 06:00,Júlia,21.47
domingo - 09/04/2023 06:15,Júlia,21.02
domingo - 09/04/2023 06:30,Júlia,21.8
domingo - 09/04/2023 06:45,Júlia,21.79
domingo - 09/04/2023 07:00,Júlia,21.84
domingo - 09/04/2023 07:15,Júlia,22.09
domingo - 09/04/2023 07:30,Júlia,22.21
domingo - 09/04/2023 07:45,Júlia,22.24
domingo - 09/04/2023 08:00,Júlia,22.55
domingo - 09/04/2023 08:15,Júlia,22.61
domingo - 09/04/2023 08:30,Júlia,23.07
domingo - 09/04/2023 08:45,Júlia,23.38
domingo - 09/04/2023 09:00,Júlia,22.99
domingo - 09/04/2023 09:15,Júlia,23.79
domingo - 09/04/2023 09:30,Júlia,23.43
domingo - 09/04/2023 09:45,Júlia,24.24
domingo - 09/04/2023 10:00,Júlia,24.24
domingo - 09/04/2023 10:15,Júlia,24.37
domingo - 09/04/2023 10:30,Júlia,24.55
domingo - 09/04/2023 10:45,Júlia,24.69
domingo - 09/04/2023 11:00,Júlia,24.98
domingo - 09/04/2023 11:15,Júlia,25.07
domingo - 09/04/2023 11:30,Júlia,25.21
domingo - 09/04/2023 11:45,Júlia,
domingo - 09/04/2023 12:00,Letícia,25.93
domingo - 09/04/2023 12:15,Letícia,25.91
domingo - 09/04/2023 12:30,Letícia,26.01
domingo - 09/04/2023 12:45,Letícia,26.27
domingo - 09/04/2023 13:00,Letícia,26.1
domingo - 09/04/2023 13:15,Letícia,26.4
domingo - 09/04/2023 13:30,Letícia,26.49
domingo - 09/04/2023 13:45,Letícia,26.89
domingo - 09/04/2023 14:00,Letícia,26.88
domingo - 09/04/2023 14:15,Letícia,26.47
domingo - 09/04/2023 14:30,Letícia,27.26
domingo - 09/04/2023 14:45,Letícia,26.66
domingo - 09/04/2023 15:00,Letícia,26.98
domingo - 09/04/2023 15:15,Letícia,27.2
domingo - 09/04/2023 15:30,Letícia,27.29
domingo - 09/04/2023 15:45,Letícia,26.86
domingo - 09/04/2023 16:00,Letícia,26.5
domingo - 09/04/2023 16:15,Letícia,27.14
domingo - 09/04/2023 16:30,Letícia,26.82
domingo - 09/04/2023 16:45,Letícia,
domingo - 09/04/2023 17:00,Letícia,26.92
domingo - 09/04/2023 17:15,Letícia,27.04
domingo - 09/04/2023 17:30,Letícia,26.78
domingo - 09/04/2023 17:45,Letícia,26.66
domingo - 09/04/2023 18:00,Letícia,26.26
domingo - 09/04/2023 18:15,Letícia,
domingo - 09/04/2023 18:30,Letícia,26.3
domingo - 09/04/2023 18:45,Letícia,26.05
domingo - 09/04/2023 19:00,Letícia,26.04
domingo - 09/04/2023 19:15,Letícia,25.98
domingo - 09/04/2023 19:30,Letícia,25.61
domingo - 09/04/2023 19:45,Letícia,25.75
domingo - 09/04/2023 20:00,Letícia,25.41
domingo - 09/04/2023 20:15,Letícia,24.91
domingo - 09/04/2023 20:30,Letícia,24.79
domingo - 09/04/2023 20:45,Letícia,24.76
domingo - 09/04/2023 21:00,Letícia,24.69
domingo - 09/04/2023 21:15,Letícia,24.03
domingo - 09/04/2023 21:30,Letícia,23.77
domingo - 09/04/2023 21:45,Letícia,23.76
domingo - 09/04/2023 22:00,Letícia,23.92
domingo - 09/04/2023 22:15,Letícia,23.79
domingo - 09/04/2023 22:30,Letícia,23.38
domingo - 09/04/2023 22:45,Letícia,22.89
domingo - 09/04/2023 23:00,Letícia,22.73
domingo - 09/04/2023 23:15,Letícia,23.19
domingo - 09/04/2023 23:30,Letícia,22.74
domingo - 09/04/2023 23:45,Letícia,
segunda - 10/04/2023 00:00,Fábio,22.78
segunda - 10/04/2023 00:15,Fábio,
segunda - 10/04/2023 00:30,Fábio,22.22
segunda - 10/04/2023 00:45,Fábio,22.23
segunda - 10/04/2023 01:00,Fábio,21.82
segunda - 10/04/2023 01:15,Fábio,21.6
segunda - 10/04/2023 01:30,Fábio,21.78
segunda - 10/04/2023 01:45,Fábio,21.77
segunda - 10/04/2023 02:00,Fábio,21.17
segunda - 10/04/2023 02:15,Fábio,21.27
segunda - 10/04/2023 02:30,Fábio,21.18
segunda - 10/04/2023 02:45,Fábio,20.99
segunda - 10/04/2023 03:00,Fábio,21.11
segunda - 10/04/2023 03:15,Fábio,20.93
segunda - 10/04/2023 03:30,Fábio,20.44
segunda - 10/04/2023 03:45,Fábio,21.43
segunda - 10/04/2023 04:00,Fábio,21.08
segunda - 10/04/2023 04:15,Fábio,20.98
segunda - 10/04/2023 04:30,Fábio,21.0
segunda - 10/04/2023 04:45,Fábio,20.89
segunda - 10/04/2023 05:00,Fábio,21.32
segunda - 10/04/2023 05:15,Fábio,21.17
segunda - 10/04/2023 05:30,Fábio,21.23
segunda - 10/04/2023 05:45,Fábio,21.26
segunda - 10/04/2023 06:00,Fábio,21.35
segunda - 10/04/2023 06:15,Fábio,21.49
segunda - 10/04/2023 06:30,Fábio,21.75
segunda - 10/04/2023 06:45,Fábio,21.88
segunda - 10/04/2023 07:00,Fábio,21.73
segunda - 10/04/2023 07:15,Fábio,22.25
segunda - 10/04/2023 07:30,Fábio,22.49
segunda - 10/04/2023 07:45,Fábio,22.48
segunda - 10/04/2023 08:00,Fernando,22.47
segunda - 10/04/2023 08:15,Fernando,22.64
segunda - 10/04/2023 08:30,Fernando,22.78
segunda - 10/04/2023 08:45,Fernando,23.27
segunda - 10/04/2023 09:00,Fernando,23.25
segunda - 10/04/2023 09:15,Fernando,23.73
segunda - 10/04/2023 09:30,Fernando,23.76
segunda - 10/04/2023 09:45,Fernando,24.01
segunda - 10/04/2023 10:00,Fernando,24.19
segunda - 10/04/2023 10:15,Fernando,24.36
segunda - 10/04/2023 10:30,Fernando,24.22
segunda - 10/04/2023 10:45,Fernando,24.54
segunda - 10/04/2023 11:00,Fernando,24.66
segunda - 10/04/2023 11:15,Fernando,25.19
segunda - 10/04/2023 11:30,Fernando,25.27
segunda - 10/04/2023 11:45,Fernando,25.82
segunda - 10/04/2023 12:00,Fernando,25.71
segunda - 10/04/2023 12:15,Fernando,25.5
segunda - 10/04/2023 12:30,Fernando,26.37
segunda - 10/04/2023 12:45,Fernando,25.96
segunda - 10/04/2023 13:00,Fernando,25.98
segunda - 10/04/2023 13:15,Fernando,26.33
segunda - 10/04/2023 13:30,Fernando,26.25
segunda - 10/04/2023 13:45,Fernando,26.6
segunda - 10/04/2023 14:00,Fernando,26.65
segunda - 10/04/2023 14:15,Fernando,26.83
segunda - 10/04/2023 14:30,Fernando,26.69
segunda - 10/04/2023 14:45,Fernando,26.98
segunda - 10/04/2023 15:00,Fernando,27.03
segunda - 10/04/2023 15:15,Fernando,26.69
segunda - 10/04/2023 15:30,Fernando,26.68
segunda - 10/04/2023 15:45,Fernando,26.74
segunda - 10/04/2023 16:00,Júlia,
segunda - 10/04/2023 16:15,Júlia,26.65
segunda - 10/04/2023 16:30,Júlia,26.77
segunda - 10/04/2023 16:45,Júlia,27.04
segunda - 10/04/2023 17:00,Júlia,26.75
segunda - 10/04/2023 17:15,Júlia,26.95
segunda - 10/04/2023 17:30,Júlia,26.46
segunda - 10/04/2023 17:45,Júlia,26.54
segunda - 10/04/2023 18:00,Júlia,26.76
segunda - 10/04/2023 18:15,Júlia,26.71
segunda - 10/04/2023 18:30,Júlia,26.13
segunda - 10/04/2023 18:45,Júlia,26.6
segunda - 10/04/2023 19:00,Júlia,25.91
segunda - 10/04/2023 19:15,Júlia,25.73
segunda - 10/04/2023 19:30,Júlia,
segunda - 10/04/2023 19:45,Júlia,25.37
segunda - 10/04/2023 20:00,Júlia,25.21
segunda - 10/04/2023 20:15,Júlia,25.05
segunda - 10/04/2023 20:30,Júlia,24.78
segunda - 10/04/2023 20:45,Júlia,24.88
segunda - 10/04/2023 21:00,Júlia,24.39
segunda - 10/04/2023 21:15,Júlia,24.21
segunda - 10/04/2023 21:30,Júlia,24.62
segunda - 10/04/2023 21:45,Júlia,24.09
segunda - 10/04/2023 22:00,Júlia,23.74
segunda - 10/04/2023 22:15,Júlia,23.68
segunda - 10/04/2023 22:30,Júlia,23.44
segunda - 10/04/2023 22:45,Júlia,23.41
segunda - 10/04/2023 23:00,Júlia,22.89
segunda - 10/04/2023 23:15,Júlia,23.19
segunda - 10/04/2023 23:30,Júlia,22.71
segunda - 10/04/2023 23:45,Júlia,22.4
terça - 11/04/2023 00:00,Letícia,23.24
terça - 11/04/2023 00:15,Letícia,23.28
terça - 11/04/2023 00:30,Letícia,23.19
terça - 11/04/2023 00:45,Letícia,23.0
terça - 11/04/2023 01:00,Letícia,22.4
terça - 11/04/2023 01:15,Letícia,22.39
terça - 11/04/2023 01:30,Letícia,22.65
terça - 11/04/2023 01:45,Letícia,23.06
terça - 11/04/2023 02:00,Letícia,22.21
terça - 11/04/2023 02:15,Letícia,22.26
terça - 11/04/2023 02:30,Letícia,22.26
terça - 11/04/2023 02:45,Letícia,22.24
terça - 11/04/2023 03:00,Letícia,22.15
terça - 11/04/2023 03:15,Letícia,22.0
terça - 11/04/2023 03:30,Letícia,22.21
terça - 11/04/2023 03:45,Letícia,22.08
terça - 11/04/2023 04:00,Letícia,21.78
terça - 11/04/2023 04:15,Letícia,21.77
terça - 11/04/2023 04:30,Letícia,21.88
terça - 11/04/2023 04:45,Letícia,22.17
terça - 11/04/2023 05:00,Letícia,22.32
terça - 11/04/2023 05:15,Letícia,22.22
terça - 11/04/2023 05:30,Letícia,22.13
terça - 11/04/2023 05:45,Letícia,22.37
terça - 11/04/2023 06:00,Letícia,22.43
terça - 11/04/2023 06:15,Letícia,21.98
terça - 11/04/2023 06:30,Letícia,22.67
terça - 11/04/2023 06:45,Letícia,22.83
terça - 11/04/2023 07:00,Letícia,22.93
terça - 11/04/2023 07:15,Letícia,23.37
terça - 11/04/2023 07:30,Letícia,23.19
terça - 11/04/2023 07:45,Letícia,23.0
terça - 11/04/2023 08:00,Marcela,23.63
terça - 11/04/2023 08:15,Marcela,23.82
terça - 11/04/2023 08:30,Marcela,23.83
terça - 11/04/2023 08:45,Marcela,24.41
terça - 11/04/2023 09:00,Marcela,24.51
terça - 11/04/2023 09:15,Marcela,24.26
terça - 11/04/2023 09:30,Marcela,24.7
terça - 11/04/2023 09:45,Marcela,24.77
terça - 11/04/2023 10:00,Marcela,24.79
terça - 11/04/2023 10:15,Marcela,25.18
terça - 11/04/2023 10:30,Marcela,25.46
terça - 11/04/2023 10:45,Marcela,25.68
terça - 11/04/2023 11:00,Marcela,26.04
terça - 11/04/2023 11:15,Marcela,25.83
terça - 11/04/2023 11:30,Marcela,26.32
terça - 11/04/2023 11:45,Marcela,26.41
terça - 11/04/2023 12:00,Marcela,26.51
terça - 11/04/2023 12:15,Marcela,26.45
terça - 11/04/2023 12:30,Marcela,26.98
terça - 11/04/2023 12:45,Marcela,27.29
terça - 11/04/2023 13:00,Marcela,27.11
terça - 11/04/2023 13:15,Marcela,27.53
terça - 11/04/2023 13:30,Marcela,
terça - 11/04/2023 13:45,Marcela,27.39
terça - 11/04/2023 14:00,Marcela,27.68
terça - 11/04/2023 14:15,Marcela,27.59
terça - 11/04/2023 14:30,Marcela,27.91
terça - 11/04/2023 14:45,Marcela,28.1
terça - 11/04/2023 15:00,Marcela,28.15
terça - 11/04/2023 15:15,Marcela,27.93
terça - 11/04/2023 15:30,Marcela,27.62
terça - 11/04/2023 15:45,Marcela,27.99
terça - 11/04/2023 16:00,Rafael,28.09
terça - 11/04/2023 16:15,Rafael,27.76
terça - 11/04/2023 16:30,Rafael,27.81
terça - 11/04/2023 16:45,Rafael,27.83
terça - 11/04/2023 17:00,Rafael,28.05
terça - 11/04/2023 17:15,Rafael,27.82
terça - 11/04/2023 17:30,Rafael,27.58
terça - 11/04/2023 17:45,Rafael,27.44
terça - 11/04/2023 18:00,Rafael,27.85
terça - 11/04/2023 18:15,Rafael,27.1
terça - 11/04/2023 18:30,Rafael,27.67
terça - 11/04/2023 18:45,Rafael,27.4
terça - 11/04/2023 19:00,Rafael,27.16
terça - 11/04/2023 19:15,Rafael,26.89
terça - 11/04/2023 19:30,Rafael,26.62
terça - 11/04/2023 19:45,Rafael,26.14
terça - 11/04/2023 20:00,Rafael,26.75
terça - 11/04/2023 20:15,Rafael,26.24
terça - 11/04/2023 20:30,Rafael,25.92
terça - 11/04/2023 20:45,Rafael,25.64
terça - 11/04/2023 21:00,Rafael,25.48
terça - 11/04/2023 21:15,Rafael,25.06
terça - 11/04/2023 21:30,Rafael,24.88
terça - 11/04/2023 21:45,Rafael,25.09
terça - 11/04/2023 22:00,Rafael,24.77
terça - 11/04/2023 22:15,Rafael,24.87
terça - 11/04/2023 22:30,Rafael,24.51
terça - 11/04/2023 22:45,Rafael,24.0
terça - 11/04/2023 23:00,Rafael,23.8
terça - 11/04/2023 23:15,Rafael,24.0
terça - 11/04/2023 23:30,Rafael,23.68
terça - 11/04/2023 23:45,Rafael,
quarta - 12/04/2023 00:00,Fábio,24.28
quarta - 12/04/2023 00:15,Fábio,24.16
quarta - 12/04/2023 00:30,Fábio,23.69
quarta - 12/04/2023 00:45,Fábio,23.52
quarta - 12/04/2023 01:00,Fábio,23.83
quarta - 12/04/2023 01:15,Fábio,23.57
quarta - 12/04/2023 01:30,Fábio,23.94
quarta - 12/04/2023 01:45,Fábio,23.44
quarta - 12/04/2023 02:00,Fábio,23.65
quarta - 12/04/2023 02:15,Fábio,23.45
quarta - 12/04/2023 02:30,Fábio,23.62
quarta - 12/04/2023 02:45,Fábio,23.5
quarta - 12/04/2023 03:00,Fábio,23.36
quarta - 12/04/2023 03:15,Fábio,23.02
quarta - 12/04/2023 03:30,Fábio,23.14
quarta - 12/04/2023 03:45,Fábio,22.84
quarta - 12/04/2023 04:00,Fábio,23.1
quarta - 12/04/2023 04:15,Fábio,23.02
quarta - 12/04/2023 04:30,Fábio,23.05
quarta - 12/04/2023 04:45,Fábio,23.08
quarta - 12/04/2023 05:00,Fábio,23.13
quarta - 12/04/2023 05:15,Fábio,23.01
quarta - 12/04/2023 05:30,Fábio,23.36
quarta - 12/04/2023 05:45,Fábio,23.09
quarta - 12/04/2023 06:00,Fábio,23.34
quarta - 12/04/2023 06:15,Fábio,23.09
quarta - 12/04/2023 06:30,Fábio,23.98
quarta - 12/04/2023 06:45,Fábio,24.07
quarta - 12/04/2023 07:00,Fábio,23.54
quarta - 12/04/2023 07:15,Fábio,24.0
quarta - 12/04/2023 07:30,Fábio,24.19
quarta - 12/04/2023 07:45,Fábio,24.13
quarta - 12/04/2023 08:00,Fernando,24.29
quarta - 12/04/2023 08:15,Fernando,24.36
quarta - 12/04/2023 08:30,Fernando,24.85
quarta - 12/04/2023 08:45,Fernando,25.27
quarta - 12/04/2023 09:00,Fernando,25.49
quarta - 12/04/2023 09:15,Fernando,25.68
quarta - 12/04/2023 09:30,Fernando,25.88
quarta - 12/04/2023 09:45,Fernando,26.14
quarta - 12/04/2023 10:00,Fernando,25.98
quarta - 12/04/2023 10:15,Fernando,26.5
quarta - 12/04/2023 10:30,Fernando,26.65
quarta - 12/04/2023 10:45,Fernando,26.66
quarta - 12/04/2023 11:00,Fernando,26.81
quarta - 12/04/2023 11:15,Fernando,26.89
quarta - 12/04/2023 11:30,Fernando,27.18
quarta - 12/04/2023 11:45,Fernando,27.73
quarta - 12/04/2023 12:00,Fernando,27.65
quarta - 12/04/2023 12:15,Fernando,27.27
quarta - 12/04/2023 12:30,Fernando,27.77
quarta - 12/04/2023 12:45,Fernando,28.14
quarta - 12/04/2023 13:00,Fernando,28.43
quarta - 12/04/2023 13:15,Fernando,28.15
quarta - 12/04/2023 13:30,Fernando,28.36
quarta - 12/04/2023 13:45,Fernando,28.34
quarta - 12/04/2023 14:00,Fernando,28.59
quarta - 12/04/2023 14:15,Fernando,28.64
quarta - 12/04/2023 14:30,Fernando,28.92
quarta - 12/04/2023 14:45,Fernando,28.77
quarta - 12/04/2023 15:00,Fernando,28.64
quarta - 12/04/2023 15:15,Fernando,28.81
quarta - 12/04/2023 15:30,Fernando,29.24
quarta - 12/04/2023 15:45,Fernando,29.12
quarta - 12/04/2023 16:00,Júlia,28.84
quarta - 12/04/2023 16:15,Júlia,28.85
quarta - 12/04/2023 16:30,Júlia,28.87
quarta - 12/04/2023 16:45,Júlia,28.78
quarta - 12/04/2023 17:00,Júlia,28.65
quarta - 12/04/2023 17:15,Júlia,28.8
quarta - 12/04/2023 17:30,Júlia,28.57
quarta - 12/04/2023 17:45,Júlia,28.84
quarta - 12/04/2023 18:00,Júlia,28.83
